"placename","othername","designator","location","remarks","infosource","RandID"
"Antioch Baptist Church","   -","Church","Shenandoah County, north of Brocks Gap","Baptist","HRHS Churches Database 2013","37059215600"
"Antioch Baptist Church Cemetery","   -","Cemetery","Brocks Gap/Runion Creek area,  Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 North to Broadway. In Broadway turn left on Route 259 (Brocks Gap Road). Go to Route 610 (Runions Creek Road) and turn right. Go 8.3 miles and turn","   -","HRHS Cemeteries Database 2013","597313002128"
"Antioch Church","   -","Church","On SR 910 about 3.5 mi SSE of Singers Glen","Pit G shows Antioch Church on the east side of SR 910","HRHS Archives # 86 Whitmer","56808564134"
"Antioch United Church of Christ","   -","Church","Greenmount, south of","United Church of Christ","HRHS Churches Database 2013","305442886866"
"Antioch United Church of Christ Cemetery","   -","Cemetery","Greenmount area, Rockingham County, Virginia.  From Court Square in  Harrisonburg take Route 42 north and go 1.3 miles, then turn left onto Route 763 (Mt. Clinton Pike).  Go 1.1 miles and turn right onto Route 910 (Ft. Lynne Road).  Go 2.3 miles and","   -","HRHS Cemeteries Database 2013","467245046015"
"Appalachan Trail","   -","Road","A foot trail extending from Maine to Georgia. In Rok it closely parallels the Skyline Drive in the Blue Ridge.","   -","HRHS Archives # 86 Whitmer","973530596759"
"Appalachian Mountains","   -","Mountain","   -","Is the Blue Ridge or Massanutten Mountain in the Appalachians?","HRHS Archives # 86 Whitmer","558051592129"
"Arbogast Mill","Plains Mill","Mill","Timberville","   -","HRHS Mill Books","266645075883"
"Arch Roach Cemetery","   -","Cemetery","Sandy Bottom, Rockingham County, Virginia. Travel east on Route 33 from Elkton, through Swift Run Gap area, till you come to Beldor Road (Route 628). Turn right on Beldor Road and go 6/10 mile and turn left onto Sandy Bottom Road (Route 626). Cemeter","   -","HRHS Cemeteries Database 2013","345663076148"
"Arehart & Myers","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","737671109090"
"Arey Family Cemetery","   -","Cemetery","Dry River area, Rockingham County, Virginia. From the Courthouse in Harrisonburg, travel Route 33 West. Go 4.5 miles and turn left onto Route 734 (Bank Church Road). Go 1.2 miles and Route 734 turns right. Go 1/10 mile and Route 734 turns left. Conti","   -","HRHS Cemeteries Database 2013","74150092188"
"Arey Family Cemetery","   -","Cemetery","West Rockingham County, Virginia. From Harrisonburg, Virginia, go west on Route 33 (Rawley Pike) about 11 miles and turn left on Route 732 (Coopers Mountain Road). Go about a mile to 9938 Cooper Mountain Road on left side of road. Turn into the farm","   -","HRHS Cemeteries Database 2013","981183216755"
"Arkton","   -","Community","On SR 620 about 2 mi E of Tenth Legion","   -","HRHS Archives # 86 Whitmer","469107010753"
"Arkton Church","   -","Church","On SR 620 about 2 mi E of Tenth Legion","Named 'Mountain Valley Church' on Pit G. Pit G shows Arkton Church at intersectionof SR 608 & 620 about 3.2 mi SSE of Tenth Legion. Near 38 32 07N, 78 42 26W","HRHS Archives # 86 Whitmer","938271138274"
"Arkton Tunker Church","   -","Church","Lacey Spring, east of, at Arkton (No longer exists)","Dunkard","HRHS Churches Database 2013","673234644021"
"Arkton Tunker Church Cemetery","   -","Cemetery","Arkton, Rockingham County, Virginia. Take Route 11 North (North Valley Pike) several miles to Route 798 (Arkton Road) and turn right. Go straight till you come to Route 620 (Smith Creek Road in parts known as Mt. Valley Road and Indian Trail Road) an","   -","HRHS Cemeteries Database 2013","594282952579"
"Armentrout Family Cemetery","   -","Cemetery","Penn Laird area, Rockingham County, Virginia. From Harrisonburg take Route 33 East towards Penn Laird. Turn right on to Route 655 (Lawyers Road). Go 4/10 mile and turn right on to Route 1801 (Donnagail Drive). Cemetery is located in the backyard behi","   -","HRHS Cemeteries Database 2013","803818536628"
"Armentrout Family Cemetery","   -","Cemetery","Rockingham County, Virginia. 1960 directions: Located on property owned by William O. Cooley, Rt. 3, northeast of Harrisonburg, Virginia.","   -","HRHS Cemeteries Database 2013","780098186749"
"Armentrout Mill","Hinton Mill","Mill","Keezletown","   -","HRHS Mill Books","717029652932"
"Armentrout Mill","   -","Mill","Fridley's Gap","   -","HRHS Mill Books","323690277081"
"Armentrout?s Lutheran Church","(See also, Trinity Lutheran Church, Old Dutch Church, St. Phillips Lutheran Church)","Church","Keezletown, about four miles north. Now Trinity Church.","Lutheran / German Reformed","HRHS Churches Database 2013","476860925845"
"Arrey - Fridley Family Cemetery","   -","Cemetery","Fridley's Gap, Rockingham County, Virginia. Located off Route 620 by Route 722 and Route 868 in Fridley's Gap on the Camp Overlook (E.U.B. Church) campground.","   -","HRHS Cemeteries Database 2013","974278209157"
"Asbury United Methodist Church","Refer to: Harrisonburg Methodist Church, (See also, Andrew Chapel, and others.)","Church","Harrisonburg, southwest corner of Main and Bruce Streets","United Methodist","HRHS Churches Database 2013","338302838650"
"Ashby District","   -","Area","Ashby Magisterial District is the southwestern one in Rockingham County. Includes Briery Branch, Dayton, Bridgewater, Mount Crawford & Cross Keys.","Not on 1975 maps. Named 'Ashby Magisterial District' on Lake G, p.6-7, 10-13, Show G p.5, 6-9, Pit G","HRHS Archives # 86 Whitmer","430448756573"
"Ashby Killed 6/62","   -","Monument","East Central","P. 13","1885 Lakes Atlas Revised 2013","192678632301"
"Ashby Magisterial District","   -","Area","   -","Named 'Ashby District' on VA DoHT 1977-41","HRHS Archives # 86 Whitmer","349826498369"
"Ashby Monument","   -","Monument","A monument to Turner Ashby. About 1.8 mi S of courthouse in Harrisonburg near Port Republic Road, SR 659.","GNIS classes this as a 'Pillar'. This feature shown as 'Gen Ashby killed 1862' on Show G, p.11, This feature shown as 'Gen T Ashby killed June 1862' on Lake G, p.17","HRHS Archives # 86 Whitmer","7736905405"
"Ashenfelter Cemetery","   -","Cemetery","Cootes Store area, Rockingham County, Virginia.  Was located south of Route 259 (Brocks Gap Road) and east of Cootes Store on the Edgar Feddon place. (From intersection of Rts 42 & 259 in Broadway, go west on SR-259 for 2.8 miles.  Turn left onto Tur","   -","HRHS Cemeteries Database 2013","423320179399"
"Assembly Park","Park View","Park","Northwest area of Harrisonburg","In area of Eastern Mennonite College","Other Sources","678519915950"
"Athens Cemetery (*)","   -","Cemetery","Northeast of Harrisonburg, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North and turn right onto Route 721 (Fellowship Road). Route 721 intersects Route 717 (Indian Trail Road) and turn left. Continue on Route 717 and go p","* Negro","HRHS Cemeteries Database 2013","468662835535"
"Athlone","   -","Community","At intersection of SR 608 and 620 about 3.2 mi SSE of Tenth Legion","Named 'Athlone Post Office on VA DoH 1939-32, named 'Athone' on Pit G","HRHS Archives # 86 Whitmer","489520010755"
"Athlone Post Office","   -","Post Office","   -","Named 'Athlone' on 7.5' map. See 10th Legion A","HRHS Archives # 86 Whitmer","642518808424"
"Austin Mountain","   -","Mountain","Elevation 2658' on Blue Ridge about 4 mi E of Grottoes","Bgn 1933","HRHS Archives # 86 Whitmer","284208153382"
"Austin Mountain Trail","   -","Road","A foot trail in Shenandoah National Park extending W-E about 3 mi. Part of trail ascends Austin Mountain. Begins on Madison Run Road about 4 mi E of Grottoes. Ends at Rocky Top Trail about 2.5 mi S of Rocky Top. Midpoint near 38 15 37N, 78 44 07W","   -","HRHS Archives # 86 Whitmer","955128751209"
"B&O RR (P.V.)","   -","Railroad","Pleasant Valley","P. 22","1885 Lakes Atlas Revised 2013","104935323778"
"B.S.","   -","Other","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","585321654553"
"Back Road","Old Back Road","Road","   -","Named 'old Back Road' on VA DoH 1939-32","HRHS Archives # 86 Whitmer","118236293427"
"Back Road","   -","Road","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","268850824935"
"Back Road","   -","Road","East Central","P. 12","1885 Lakes Atlas Revised 2013","765882093360"
"Back Road","   -","Road","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","842621248100"
"Back Road","   -","Road","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","270085704823"
"Back Road","   -","Road","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013","483110753658"
"Back Road","   -","Road","East Plains","P. 24","1885 Lakes Atlas Revised 2013","765151546950"
"Back Road","   -","Road","West Plains","P. 27","1885 Lakes Atlas Revised 2013","304767322564"
"Baker Mill Post Office","   -","Post Office","At intersection of SR 752 and 786, about 2.7 mi WSW of Broadway","   -","HRHS Archives # 86 Whitmer","502918252070"
"Baker School","   -","School","On SR 818 about 1.7 mi W of Fulks Run","Beside this feature is the comment 'Old School in Gap.' Unnamed school symbol at this point on Pit G","HRHS Archives # 86 Whitmer","61917007446"
"Bakers Mill","   -","Mill","Cedar Run","   -","HRHS Mill Books","580105921884"
"Baker's Mill PO.","   -","Post Office","East Plains","P. 24","1885 Lakes Atlas Revised 2013","888704551"
"Bald Face Mountain Overlook","   -","Road","Elevation 3341'. On Skyline Drive about 2.6 mi E of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer","884366638005"
"Bald Knob","   -","Mountain","Elevation about 3680'. About 6 mi N of Rawley Springs.","   -","HRHS Archives # 86 Whitmer","705575826830"
"Bald Knob","   -","Mountain","West Central","P. 15","1885 Lakes Atlas Revised 2013","676988307560"
"Baldwin Family Cemetery","   -","Cemetery","North Edom Area, Rockingham County, Virginia. From corner of Route 33 West and Route 42, take Route 42 North for 6.3 miles. Turn left onto Route 780 (Shaver Mill Road) and go 2/10th mile to driveway/house on the right side of the road. Cemetery is in","   -","HRHS Cemeteries Database 2013","82710586591"
"Ball Rm. Rock","   -","Rocks","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","817185679804"
"Ball Room Rock","   -","Rocks","On Black Run, about .5 mi WNW of Rawley Springs.","   -","HRHS Archives # 86 Whitmer","620207661980"
"Baltimore & Ohio Railroad","   -","Railroad","In Rockingham Co., comes from Weyers Cave in Augusta Co. through North River/Mt. Crawford Station, & terminates at Harrisonburg.","See Chesapeake Western Railway shown as 'BR. Of B & O RR' on Gray H. no see cd made.","HRHS Archives # 86 Whitmer","413370060025"
"Baltimore House","   -","Hotel","About 2.9 mi S of Lairds Knob in Rockingham Springs Resort","   -","HRHS Archives # 86 Whitmer","716724309095"
"Band Stand (R.S.)","   -","Park","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","825284051562"
"Bank Cemetery","(Menonite)","Cemetery","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","390450472562"
"Bank Church","   -","Church","At Intersection of SR 734 and 752. About 2 mi W of Mole Hill","Lake G labels this as 'Bank Church (Mennonite)'","HRHS Archives # 86 Whitmer","998291653298"
"Bank Church","   -","Church","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","63090856068"
"Bank Mennonite Church","Refer to: Bank Mennonite Church (Old)","Church","Rushville, north 1 mile on Hinton Rd at intersection of Bank Church Rd.","Mennonite  (Southeastern Mennonite Conference)","HRHS Churches Database 2013","811514943848"
"Bank Mennonite Church (Old)","(See also, Bank Mennonite Church)","Church","Rushville. North 1 mile on Hinton Rd at intersection of Bank Church Rd. SE corner. (No longer exists)","Mennonite  (Southeastern Mennonite Conference)","HRHS Churches Database 2013","341260160874"
"Bank Mennonite Church Cemetery","   -","Cemetery","Dry River area, Rockingham County, Virginia.  From the Courthouse, Harrisonburg, Virginia, travel Route 33 west.  Go 4.5 miles and turn left onto Route 734 (Bank Church Road).  Go 1.2 mile and Route 734 turns right.  Go 1/10 mile and Route 734 turns","   -","HRHS Cemeteries Database 2013","158667266588"
"Bank of Elkton","   -","Business","On SR 759 about 1.2 mi S of Fox Mountain","   -","HRHS Archives # 86 Whitmer","792154538937"
"Baptist Ch. Germany","(Mill Creek)","Church","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","727072871140"
"Bar Room (RS.)","   -","Business","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","474612362279"
"Barbee House","   -","Structure","At 403 North Main Street, Bridgewater","   -","HRHS Archives # 86 Whitmer","704823485895"
"Barley Family Cemetery","   -","Cemetery","Lacey Springs, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North (Valley Pike) to Lacey Springs. Turn right onto Route 806 (Martz Road). Go to house at 1392 Martz Road, just before crossing Smith Creek. Cemetery is 100 yar","   -","HRHS Cemeteries Database 2013","306823866575"
"Basore & Hoover Mineral Lands","   -","Business","A tract of land on the SW side of Mine Mountain. Probably bounded on SW by Overly Run, on NE by Top Ridge of Mine mountain (as described on Lake G). Other boundaries unclear.","Penciled in on 7.5' maps","HRHS Archives # 86 Whitmer","152055314369"
"Basore & Hoover ML","   -","Business","West Plains","P. 26","1885 Lakes Atlas Revised 2013","886005428509"
"Basore & Hoover Shp","   -","Business","West Plains","P. 26","1885 Lakes Atlas Revised 2013","819073534870"
"Basore & Shearer","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","728881439662"
"Basore & Shearer","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","984459830329"
"Bath Rooms (R.S.)","   -","Business","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","895563273674"
"Battlegd","Port Rep. B","Monument","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","293560755704"
"Baugher Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located east of Elkton on Route 626 (Sandy Bottom Road) on the farm of Raymond L. Williams.","   -","HRHS Cemeteries Database 2013","887677926528"
"Baugher Chapel","Bear Lithia Church","Church","   -","Named 'Bear Lithia Church' on 7.5' map.  See Elkton E. A","HRHS Archives # 86 Whitmer","650482505143"
"Baugher Family Cemetery","   -","Cemetery","Sandy Bottom, Rockingham County, Virginia.  Travel east on Route 33 from Elkton, through Swift Run Gap area, till you come to Beldor Road (Road 628).  Turn right on Beldor Road and go 6/10 mile and turn left onto Sandy Bottom Road (Route 626).  Conti","   -","HRHS Cemeteries Database 2013","876465372156"
"Baugher Family Cemetery 2","   -","Cemetery","Elkton area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located east of Elkton in Beldor area on Route 628 (Beldor Road) on land owned and adjoining the farm of Mr. Gordon Wood.","   -","HRHS Cemeteries Database 2013","504933948774"
"Baugher Mill","   -","Mill","Sandy Bottom","   -","HRHS Mill Books","779435838021"
"Baughers Chapel","Bear Lithia Church","Church","   -","Named 'Bear Lithia Church' on 7.5' map.  See Elkton E. A. Pit G shows Baughers Chapel on SR 603 about 1.1 mi NW of Fox Mountain.","HRHS Archives # 86 Whitmer","190469987548"
"Baxter Cemetery (*)","   -","Cemetery","Singers Glen area, Rockingham County, Virginia.","* Negro","HRHS Cemeteries Database 2013","102241164648"
"Bazzle Family Cemetery","   -","Cemetery","Mt. Valley area, Rockingham Couinty, Virginia. Cemetery is located on Helen Thompson Farm at 11884 Mt. Valley Road (Route 620)","   -","HRHS Cemeteries Database 2013","974562962237"
"Beacon Hill","   -","Church","On U.S. Rt 11. About 1.1 mi SW of Lacey Spring Community.","Named 'Baugher Chapel' on Show G, p.23. Named 'Baughers Chapel' on Pit G.","HRHS Archives # 86 Whitmer","893950983264"
"Beam & Rinker","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","528387622233"
"Bear & Manor","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013","552634005758"
"Bear Lithia Baptist Church (New)","Refer to: Bear Lithia Baptist Church (Old)","Church","Elkton, north.","Baptist","HRHS Churches Database 2013","467910912254"
"Bear Lithia Baptist Church (Old)","(See also, Bear Lithia Baptist Church (New))","Church","Elkton, north.","Baptist","HRHS Churches Database 2013","222872218839"
"Bear Lithia Church","Baugher Ch. & Baughers Ch.","Church","At intersection of SR 607 and 603. About 1.3 mi W of Fox Mountain.","   -","HRHS Archives # 86 Whitmer","812458226150"
"Bear Lithia Spring","Bear Lithia Springs","Spring","Near SR 607. About 1.9 mi W of Fox Mountain","Named 'Bear Lithia Springs on Show G, p.22","HRHS Archives # 86 Whitmer","969367136483"
"Bear Lithia Spring Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. From Elkton, Virginia, go north on Route 340 (East Side Highway) to Route 607 (Bear Lithia Lane) and turn left.","   -","HRHS Cemeteries Database 2013","732419923575"
"Bear Lithia Springs","Bear Lithia Spring","Spring","   -","Named 'Bear Lithia Spring' on 7.5' map.","HRHS Archives # 86 Whitmer","850627463611"
"Bear Ridge","   -","Hill","Elevation about 1400, extends SW-NE about .6 mi. Center about 2.3 mi NW of Timberville.","   -","HRHS Archives # 86 Whitmer","113082624204"
"Beards Ford","   -","Stream","A ford across North River, about 3.3 mi W of Port Republic.","   -","HRHS Archives # 86 Whitmer","7957549849"
"Beard's Ford","   -","Stream","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","860035621273"
"Bearwallow Run","   -","Stream","Rises about 2 mi ENE of Rocky Top near 38-17-52N 78-40-45W. Flows N about 1.8 mi into OneMile Run near 38-19-18N 78-41-00W, about 1.9 mi SE of Rocky Bar","   -","HRHS Archives # 86 Whitmer","606735002376"
"Beaver Church Road","Beavers Church Road","Road","   -","Named 'Beavers Church Road' on VA DoH 1936-33","HRHS Archives # 86 Whitmer","1781997503"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","On these maps the name applies to Union Springs Run & that part of Beaver Creek from its joining with Union Springs Run to its confluence with North River.","Named 'Union Springs Run' and 'Beaver Creek' on 7.5 map.","HRHS Archives # 86 Whitmer","825074600681"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","Begins at confluence of Union Springs Run & Red Banks Run, mear 38-26-58N, 79-03036W about 1.5 mi NE of Briery Branch community, flows SSE about 5.1 mi into North River near 38-23-42N, 79-01-19W, about 2.7 mi SSE of Ottobine.","VA water resources plan lists this as 10.4 mi long. VA DoHT 1977 shows Beaver Creek as rising about 1.2 mi NW of Briery Granch community, near 38 26 57N, 79 05 27W. VA DoH 1967-32 shown as Beaver Creek & Union Springs Run. Pit G shown as Union Spring","HRHS Archives # 86 Whitmer","541612090015"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","On this map the name applies to Union Springs Run & only that prt of Beaver Creek from its beginning to its confluence with Briery Branch, as described on Bri. Br. A.","   -","HRHS Archives # 86 Whitmer","38607906495"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","   -","These maps show Beaver Creek as rising about 1.2 mi NW of Briery Branch community near 38 26 57N, 79 05 27W. GNIS printout shows Beaver Creek beginning at confuleunce of Union Springs Run & Red Banks Run.","HRHS Archives # 86 Whitmer","710336209889"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","   -","This map shows Beaver Creek appearing to begin at confluence of Wood Creek (Union Springs Run on 7.5' maps) & Red Banks Run.","HRHS Archives # 86 Whitmer","123805353305"
"Beaver Creek","UnionSpringsRun&RedBanksRun","Stream","On these maps the name applies to Union Springs Run (at least from its confluence with 3 unnamed tributaries just NW of its passage through Narrow Back Mountain) & all of Beaver Creek as described on Bri. Br. A","Named 'Union Springs Run' and 'Beaver Creek' on 7.5 map. See Bri. Br. A","HRHS Archives # 86 Whitmer","12348959878"
"Beaver Creek","   -","Stream","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","799565020968"
"Beaver Creek","   -","Stream","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","109289379314"
"Beaver Creek Brethren Church Cemetery","   -","Cemetery","Northeast of Spring Creek area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 South (John Wayland Hwy) to Dayton.  Go right on Route 257 (Ottobine Road), then go 4.0 miles and turn left onto Road 752 (Silver Creek Road).  (","   -","HRHS Cemeteries Database 2013","568169526433"
"Beaver Creek Church","Beaver Creek Dunkard Church","Church","On SR 752. About 2 mi SE of Ottobine","Named 'Beaver Creek Dunkard Church' on Lake G, p.10, Show G, p.6, Pit G","HRHS Archives # 86 Whitmer","579685989873"
"Beaver Creek Church","Dunkard","Church","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","680768467695"
"Beaver Creek Church of the Brethren","Refer to: Beaver Creek Dunkard Church","Church","Montezuma, west on Beaver Creek Road.","Church of the Brethren","HRHS Churches Database 2013","654436862219"
"Beaver Creek Dunkard Church","(See also, Beaver Creek Church of the Brethren)","Church","Montezuma, west on Beaver Creek Road. (No longer exists)","Dunkard","HRHS Churches Database 2013","605550045145"
"Beaver Creek Dunkard Church","Beaver Creek Church","Church","   -","Named 'Beaver Creek Church' on 7.5' map. See Bri. Br. A","HRHS Archives # 86 Whitmer","290413314559"
"Beavers Church Road","Beaver Church Road","Road","A road extending generally ENE-WSW. Begins at intersection of SR 752 & 909, about 2.4 mi SE of Ottobine. Ends at intersection of SR 613 & 752, at Spring Creek community. Is now portion of SR 752. Extends about 2 mi.","Named 'Beaver Church Road' on VA DoH 1932","HRHS Archives # 86 Whitmer","832004056276"
"Beech Lick Knob","   -","Mountain","Elevation about 3280'. About 4.4 mi ENE of Cow Knob","   -","HRHS Archives # 86 Whitmer","561804333977"
"Beech Lick Knob","   -","Mountain","This map shows Beech Lick Knob as including the ridge extending west about 1 mi from Beech Lick Knob as shown on 7.5' map.  See Cow K. A","   -","HRHS Archives # 86 Whitmer","399222208168"
"Beech Lick Run","   -","Stream","Rises about 4.3 mi ENE of Cow Knob. Flows WSW & then N about 1.8 mi into German River near 38 42 25N, 79 02 10W, about 3.1 mi ENE of Cow Knob","   -","HRHS Archives # 86 Whitmer","497967707801"
"Beery & Brown","   -","Business","East Plains","P. 24","1885 Lakes Atlas Revised 2013","989021439295"
"Beery & Brown","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","697112589143"
"Beery Cemetery #","   -","Cemetery","Refer to the Edom Methodist Church Cemetery. The name has changed over the years."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013","586351887069"
"Beery Mill","   -","Mill","North Main St., Harrisonburg","   -","HRHS Mill Books","2922113521"
"Beery Mill","   -","Mill","Edom","   -","HRHS Mill Books","669594360970"
"Beldor","   -","Community","On SR 628. About 3.4 mi W of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer","244048864186"
"Beldor Church","   -","Church","On SR 628 about 3.8 mi W of Swift Run Gap","Unnamed church symbol at this location on Show G, p.23","HRHS Archives # 86 Whitmer","518792555138"
"Beldor Hollow Overlook","   -","Road","On Skyline Drive about 5 mi. SW of Swift Run Gap. Elevation 2347'.","   -","HRHS Archives # 86 Whitmer","681607608547"
"Beldor Mennonite Church","   -","Church","Beldor","Mennonite","HRHS Churches Database 2013","622211988933"
